dataset_id,dataset_name,dataset_category,task,species,tissue,disease,modality,models_using_it,accession,official_url,processed_data_available,raw_data_available,file_format,license,access_type,original_paper_title,original_paper_doi,original_paper_url,notes,verified_date
DS001,Zheng68K,cell_annotation_and_clustering,cell type annotation; clustering,human,peripheral blood,healthy,scRNA-seq,scFoundation; CellLM,SRP073767,https://www.10xgenomics.com/datasets/fresh-68-k-pbm-cs-donor-a-1-standard-1-1-0,yes,yes via SRA,matrix; FASTQ/SRA,10x terms + SRA terms,direct,Massively parallel digital transcriptional profiling of single cells,10.1038/ncomms14049,https://doi.org/10.1038/ncomms14049,常称Fresh 68K PBMC。,2026-08-21
DS002,PBMC 5K,cell_annotation_and_clustering,annotation; denoising,human,peripheral blood,healthy,scRNA-seq,CellPLM,,https://www.10xgenomics.com/datasets/5-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-next-gem-3-1-standard-3-0-2,yes,yes,matrix; BAM; FASTQ,CC BY 4.0 + 10x citation guidelines,direct,10x Genomics public demonstration dataset (no independent dataset paper),,,厂商示例数据；不要虚构独立论文。,2026-08-21
DS003,PBMC 10K,cell_annotation_and_clustering; multiomics,annotation; integration,human,peripheral blood,healthy,scRNA-seq; optional multiome variants,scGPT; LangCell,,https://www.10xgenomics.com/datasets/10-k-pbm-cs-from-a-healthy-donor-gene-expression-and-cell-surface-protein-3-standard-3-0-0,yes,yes,matrix; BAM; FASTQ,10x Genomics terms,direct,10x Genomics public demonstration dataset (no independent dataset paper),,,10K存在多个化学版本/模态；使用前记录具体页面和版本。,2026-08-21
DS004,Baron pancreas,cell_annotation_and_clustering,cell type annotation,human; mouse,pancreas,healthy; type 2 diabetes context,scRNA-seq,scBERT; scFoundation; CellLM,GSE84133,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84133,yes,yes,TXT; matrix; SRA,GEO public data; cite source,direct,A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure,10.1016/j.cels.2016.08.011,https://doi.org/10.1016/j.cels.2016.08.011,综述对scFoundation引用Huang 2018基准整理；原始数据论文是Baron 2016。,2026-08-21
DS005,Muraro pancreas,cell_annotation_and_clustering,cell type annotation,human,pancreas,healthy; type 2 diabetes,scRNA-seq,scBERT,GSE85241,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85241,yes,yes,TXT; SRA,GEO public data; cite source,direct,A Single-Cell Transcriptome Atlas of the Human Pancreas,10.1016/j.cels.2016.09.002,https://doi.org/10.1016/j.cels.2016.09.002,,2026-08-21
DS006,Segerstolpe pancreas,cell_annotation_and_clustering,cell type annotation,human,pancreatic islets,type 2 diabetes; healthy,scRNA-seq,scBERT; scFoundation,E-MTAB-5061,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-5061,yes,yes,matrix; FASTQ,ArrayExpress/BioStudies terms,direct,Single-Cell Transcriptome Profiling of Human Pancreatic Islets in Health and Type 2 Diabetes,10.1016/j.cmet.2016.08.020,https://doi.org/10.1016/j.cmet.2016.08.020,,2026-08-21
DS007,MacParland liver,cell_annotation_and_clustering,cell type annotation,human,liver,healthy,scRNA-seq,scBERT,GSE115469,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115469,yes,yes,matrix; SRA,GEO public data; cite source,direct,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,10.1038/s41467-018-06318-7,https://doi.org/10.1038/s41467-018-06318-7,,2026-08-21
DS008,Multiple Sclerosis,cell_annotation_and_clustering; atlas_and_disease,annotation; disease integration,human,brain,multiple sclerosis,snRNA-seq,CellPLM; scGPT; GeneCompass,GSE118257,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118257,yes,yes,matrix; SRA,GEO public data; cite source,direct,Neuronal vulnerability and multilineage diversity in multiple sclerosis,10.1038/s41586-019-1404-z,https://doi.org/10.1038/s41586-019-1404-z,,2026-08-21
DS009,Human Cell Atlas,cell_annotation_and_clustering; atlas_and_disease,atlas reference; annotation,human,multi-tissue,mixed,single-cell multi-omics,tGPT; UCE; Cell2Sentence,platform collection,https://data.humancellatlas.org/,yes,yes/controlled for some projects,h5ad; matrix; FASTQ; project-specific,project-specific,mixed,The Human Cell Atlas,10.7554/eLife.27041,https://doi.org/10.7554/eLife.27041,HCA是跨项目计划/平台，不是一份单一实验矩阵。,2026-08-21
DS010,Human Cell Landscape,cell_annotation_and_clustering; atlas_and_disease,atlas reference; annotation,human,multi-tissue,mostly healthy,scRNA-seq,tGPT; scMulan,HRA000027; GSE134355,https://db.cngb.org/search/project/CNP0000325/,yes,yes,matrix; FASTQ,CNGB/GEO terms; cite source,direct/registration may vary,Construction of a human cell landscape at single-cell level,10.1038/s41586-020-2157-4,https://doi.org/10.1038/s41586-020-2157-4,不同镜像可见，下载前以官方项目记录为准。,2026-08-21
