file_id,dataset_id,file_name_or_pattern,content,source,accession,download_url,file_format,file_size,direct_download,requires_login,local_path,commit_to_github,sha256,status,notes
cngb-project-public-metadata,han-stereoseq-raw-fastq,CNP0003837_project_public_view.json,CNGB 公开项目元数据 API 响应,CNGB CNSA,CNP0003837,https://db.cngb.org/cnsa/ajax/project/public_view/?q=CNP0003837,JSON,动态响应；未公布,yes,no,data/raw/metadata/CNP0003837_project_public_view.json,no,,api-may-fail,由 download_raw_metadata.py 获取；网络或站点策略可能导致 TLS 失败。
cngb-raw-fastq-files,han-stereoseq-raw-fastq,未公布；必须先导出 CNGB FTP 文件清单,Stereo-seq 和 snRNA-seq 原始 reads,CNGB CNSA,CNP0003837,https://db.cngb.org/data_resources/project/CNP0003837,FASTQ.GZ,未单独公布；整个项目约 125.58 TB,partial,possibly,data/raw/stereoseq_fastq/,no,,metadata-first,不猜测 run 文件名。
cngb-ssdna-dapi-images,han-nuclear-images,未公布；必须先导出 CNGB 文件清单,细胞分割所需 ssDNA/DAPI 图像,CNGB CNSA,CNP0003837,https://db.cngb.org/data_resources/project/CNP0003837,TIFF,未公布,partial,possibly,data/raw/images/,no,,metadata-first,不猜测图像文件名。
online-slice-expression-pattern,han-stereoseq-spatial-expression,total_gene_T*.txt.gz,每张切片的基因、DNB 坐标、UMI、cell_label、gene_area、rx、ry,Mouse Brain Atlas,BSDC.1699433096.20001,https://mouse.digital-brain.cn/spatial-omics,TXT.GZ,未公布,no,no,data/processed/stereoseq_expression/,no,,pattern-confirmed,官方只公开文件模式；具体 195 个文件名需从下载页面取得。
spatial-id-two-mice,han-spatial-id-mapping,stereoseq.celltypeTransfer.2mice.all.tsv.gz,两只小鼠的细胞 cluster/subclass/class 映射,Mouse Brain Atlas,stereoseq.celltypeTransfer.2mice.all,https://www.braindatacenter.cn/resource/1629164258869/dataset/1710842551940927490/1706651291499872258/be9677ed1a3245efbed0d3354e7cdcae/stereoseq/celltypeTransfer/aa90053d-c889-4fc2-aca3-e4dc4c30b83d/stereoseq.celltypeTransfer.2mice.all.tsv.gz,TSV.GZ,官方页面未显示,yes,no,data/processed/spatial_id/stereoseq.celltypeTransfer.2mice.all.tsv.gz,no,,direct-link-confirmed,真实直链由在线系统页面读取。
section-id-mapping,han-entity-metadata,section_id_used_in_paper.tsv,平台 section_id 与论文切片编号映射,Mouse Brain Atlas,section_id_used_in_paper,https://www.braindatacenter.cn/resource/1629164258869/dataset/1710842551940927490/1706651291499872258/be9677ed1a3245efbed0d3354e7cdcae/stereoseq/aa90053d-c889-4fc2-aca3-e4dc4c30b83d/section_id_used_in_paper.tsv,TSV,官方页面未显示,yes,no,data/processed/metadata/section_id_used_in_paper.tsv,no,,direct-link-confirmed,真实直链由在线系统页面读取。
region-description-pattern,han-entity-metadata,regions-mouse*.tsv,gene_area 脑区编号与名称映射,Mouse Brain Atlas,BSDC.1699433096.20001,https://mouse.digital-brain.cn/spatial-omics,TSV,未公布,no,no,data/processed/metadata/regions/,no,,pattern-confirmed,具体文件名和直链未在页面锚点中公开。
snrna-expression-file,han-snrnaseq-expression,未公布,378287 个高质量细胞核的表达矩阵,BSDC,BSDC.1699433096.20001,https://doi.org/10.12412/BSDC.1699433096.20001,以官方清单为准,未公布,no,possibly,data/processed/snrnaseq/expression/,no,,login-or-manifest-required,不猜测 H5AD 文件名。
ccfv3-cell-coordinates,han-ccfv3-coordinates,未公布,细胞 CCFv3 三维坐标和脑区注释,BSDC,BSDC.1699433096.20001,https://doi.org/10.12412/BSDC.1699433096.20001,以官方清单为准,未公布,no,possibly,data/external/allen_ccfv3/,no,,manifest-required,不把在线二维坐标误标为 CCF 三维坐标。
developmental-spatial-files,han-developmental-stereoseq,未公布,七个发育阶段的空间表达数据,CNGB/BSDC,CNP0003837,https://doi.org/10.12412/BSDC.1699433096.20001,以官方清单为准,未公布,no,possibly,data/processed/developmental/,no,,manifest-required,阶段已确认，具体样本文件名未确认。
derived-analysis-files,han-regulon-modules-lncrna,未公布,TF regulon、基因模块、lncRNA 和区域分析结果,论文补充材料/BSDC,10.1016/j.neuron.2025.02.015,https://doi.org/10.1016/j.neuron.2025.02.015,以补充材料为准,未公布,no,possibly,data/processed/derived_results/,no,,supplement-or-manifest-required,取得补充文件清单后再细化。
