dataset_id,category,name,source_url,version,file_format,size_reported,license,access_level,download_status,local_path,checksum,checksum_type,notes
k562_perturb,perturbation,K562 CRISPRi扰动,https://gwps.wi.mit.edu/,pending,h5ad/fastq,pending,CC BY 4.0,public,not_downloaded,data/raw/k562/,,,"Replogle 2022大规模CRISPRi；补充资源figshare 21632564不等于完整单细胞计数"
rpe1_perturb,perturbation,RPE1 CRISPRi扰动,https://gwps.wi.mit.edu/,pending,h5ad/fastq,pending,CC BY 4.0,public,not_downloaded,data/raw/rpe1/,,,"Replogle 2022大规模CRISPRi"
jurkat_perturb,perturbation,JURKAT扰动,pending,pending,pending,pending,pending,pending,pending,data/raw/jurkat/,,,"原始编号未核实；从AdaPert官方材料继续追溯；不能下载任意同名细胞系数据"
hepg2_perturb,perturbation,HEPG2扰动,pending,pending,pending,pending,pending,pending,pending,data/raw/hepg2/,,,"原始编号未核实；从AdaPert官方材料继续追溯"
replogle_supplementary,perturbation,Replogle补充资源,https://plus.figshare.com/articles/dataset/21632564,pending,zip/csv,pending,CC BY 4.0,public,not_downloaded,data/raw/supplementary/,,,"补充资源不等于完整单细胞计数数据；核对实际使用的筛选实验和预处理子集"
string_v115,knowledge_graph,STRING v11.5人类蛋白关联,https://string-db.org/,v11.5,tsv/edge,pending,CC BY 4.0,public,not_downloaded,data/raw/string/,,,"保存原始关联边与置信度；蛋白ID到基因ID映射需记录；派生图单独存放不覆盖原始"
string_hvg_filtered,knowledge_graph,STRING HVG过滤派生图,derived,pending,edge/graphml,pending,CC BY 4.0,public,not_generated,data/processed/string_hvg/,,,"HVG过滤后的派生图；不覆盖原始文件"
string_topk,knowledge_graph,STRING top-k派生图,derived,pending,edge/graphml,pending,CC BY 4.0,public,not_generated,data/processed/string_topk/,,,"top-k邻居派生图；明确区分论文不同图配置"
genept_embedding,gene_embedding,GenePT预计算语义嵌入,https://zenodo.org/records/10833191,pending,npy/h5,pending,source-specific,public,not_downloaded,data/raw/genept/,,,"记录模型名称、维度、基因键和资源版本；不自动调用付费API生成新嵌入"
genept_code,gene_embedding,GenePT代码,https://github.com/yiqunchen/GenePT,pending,git,pending,MIT,public,cloned,code_refs/,,,"代码仓库不是数据集"
