model_id,model_name,model_category,base_architecture,main_input,main_output,main_tasks,official_repository,repository_type,paper_title,paper_url,weights_url,documentation_url,license,installation_status,notes,verified_date
M001,scBERT,PLM,Performer encoder,binned gene expression,cell embedding / labels,cell type annotation,https://github.com/TencentAILabHealthcare/scBERT,official,scBERT as a large-scale pretrained deep language model for cell type annotation of single-cell RNA-seq data,https://doi.org/10.1038/s42256-022-00534-z,https://github.com/TencentAILabHealthcare/scBERT#pre-trained-model,https://github.com/TencentAILabHealthcare/scBERT,Apache-2.0,documented,,2026-08-21
M002,UCE,PLM,Transformer encoder with protein embeddings,ranked/normalized gene expression,universal cell embeddings,zero-shot embedding; annotation; integration,https://github.com/snap-stanford/UCE,official,Universal cell embeddings: a foundation model for cell biology,https://doi.org/10.1101/2023.11.28.568918,https://github.com/snap-stanford/UCE#model-downloads,https://github.com/snap-stanford/UCE,MIT,documented,,2026-08-21
M003,GeneFormer,PLM,BERT encoder,ranked expressed genes,gene/cell embeddings,network biology; classification; in-silico perturbation,https://huggingface.co/ctheodoris/Geneformer,official,Transfer learning enables predictions in network biology,https://doi.org/10.1038/s41586-023-06139-9,https://huggingface.co/ctheodoris/Geneformer,https://geneformer.readthedocs.io/,Apache-2.0,documented,V1与V2语料/参数规模不同。,2026-08-21
M004,CellPLM,PLM,Transformer latent-cell model,scRNA-seq and spatial expression,cell embeddings / predictions,annotation; imputation; perturbation; spatial tasks,https://github.com/OmicsML/CellPLM,official,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,https://doi.org/10.1101/2023.10.03.560734,https://github.com/OmicsML/CellPLM#pretrained-cellplm-model-checkpoints,https://github.com/OmicsML/CellPLM,BSD-2-Clause,documented,checkpoint通过外部存储提供。,2026-08-21
M005,scFoundation,PLM,asymmetric Transformer/xTrimoGene,gene expression + read depth,gene/cell embeddings,enhancement; annotation; perturbation; drug response; gene modules,https://github.com/biomap-research/scFoundation,official,Large-scale foundation model on single-cell transcriptomics,https://doi.org/10.1038/s41592-024-02305-7,https://github.com/biomap-research/scFoundation/tree/main/model,https://github.com/biomap-research/scFoundation,Apache-2.0 code; separate model license,documented,代码许可与模型权重许可分开。,2026-08-21
M006,Nicheformer,PLM,Transformer encoder,single-cell + spatial context tokens,cell/niche embeddings,spatial label; spatial composition; density,https://github.com/theislab/nicheformer,official,Nicheformer: a foundation model for single-cell and spatial omics,https://doi.org/10.1101/2024.04.15.589472,https://github.com/theislab/nicheformer#pretraining-weights,https://github.com/theislab/nicheformer,BSD-3-Clause,documented,后续已发表于Nature Methods；本表保留综述引用版本。,2026-08-21
M007,tGPT,PLM,decoder-only GPT,ranked gene sequence,transcriptome embedding / generated rankings,clustering; lineage; bulk clinical representation,https://github.com/deeplearningplus/tGPT,official,Generative pretraining from large-scale transcriptomes for single-cell deciphering,https://doi.org/10.1016/j.isci.2023.106536,https://github.com/deeplearningplus/tGPT,https://github.com/deeplearningplus/tGPT,see repository,documented,,2026-08-21
M008,scGPT,PLM,generative Transformer encoder-decoder,gene tokens + expression values + modality/batch tokens,gene/cell embeddings and predictions,annotation; perturbation; integration; multiomics,https://github.com/bowang-lab/scGPT,official,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,https://doi.org/10.1038/s41592-024-02201-0,https://github.com/bowang-lab/scGPT#pretrained-scgpt-model-zoo,https://scgpt.readthedocs.io/,MIT,documented,,2026-08-21
M009,CellLM,PLM,Performer + divide-and-conquer contrastive learning,binned scRNA-seq expression,cell embeddings,annotation; drug sensitivity,,unverified,Large-Scale Cell Representation Learning via Divide-and-Conquer Contrastive Learning,https://arxiv.org/abs/2306.04371,,,unverified,no confirmed official code,论文未给出可核实官方代码链接；不把第三方实现标成官方。,2026-08-21
M010,LangCell,PLM,language-cell dual encoder / Transformer,gene rankings + cell descriptions,aligned cell-text embeddings,annotation; retrieval; pathway identification,https://github.com/PharMolix/LangCell,official,LangCell: Language-Cell Pre-training for Cell Identity Understanding,https://arxiv.org/abs/2405.06708,https://huggingface.co/Toycat/ChatCell-10B,https://github.com/PharMolix/LangCell,see repository/model card,documented,权重URL需按官方仓库当前说明确认具体模型名。,2026-08-21
