dataset_id,data_name,modality,sample_stage,source,accession,download_url,file_format,file_size,direct_download,local_directory,commit_to_github,status,notes
han-stereoseq-raw-fastq,Stereo-seq 原始测序数据,Stereo-seq raw reads,成年及发育阶段,CNGB CNSA,CNP0003837,https://db.cngb.org/data_resources/project/CNP0003837,FASTQ/FASTQ.GZ,未单独公布；整个项目约 125.58 TB,partial,data/raw/stereoseq_fastq/,no,metadata-first,255 个样本、1168 个实验和 1168 个运行；完整数据需联系 datasubs@genomics.cn。
han-stereoseq-spatial-expression,Stereo-seq 空间表达矩阵,spatial transcriptomics,成年 mouse1/mouse2,BSDC 与在线图谱,BSDC.1699433096.20001,https://mouse.digital-brain.cn/spatial-omics,TXT.GZ/GEF/GEM/H5AD（以官方清单为准）,未公布,partial,data/processed/stereoseq_expression/,no,manifest-required,在线系统公布逐切片模式 total_gene_T*.txt.gz；具体文件清单需从官方入口获取。
han-cell-segmentation,单细胞分割结果,image segmentation,成年 mouse1/mouse2,CNGB/BSDC,CNP0003837,https://doi.org/10.12412/BSDC.1699433096.20001,mask/label/TSV/NPY（以官方清单为准）,未公布,no,data/processed/cell_segmentation/,no,manifest-required,StereoCell 生成 cell_label 和细胞边界；当前公开页面未列出独立文件名。
han-nuclear-images,ssDNA/DAPI 组织图像,microscopy image,成年及发育阶段,CNGB CNSA,CNP0003837,https://db.cngb.org/data_resources/project/CNP0003837,TIFF（以官方清单为准）,未单独公布,partial,data/raw/images/,no,metadata-first,用于细胞分割；先下载 CNGB 官方元数据再选择图像。
han-cell-2d-coordinates,细胞二维空间坐标,spatial coordinates,成年 mouse1/mouse2,在线图谱/BSDC,BSDC.1699433096.20001,https://mouse.digital-brain.cn/spatial-omics,TSV.GZ/TXT.GZ,未公布,partial,data/processed/coordinates_2d/,no,partly-linked,total_gene 文件含 x、y、rx、ry 和 cell_label。
han-snrnaseq-expression,snRNA-seq 表达矩阵,snRNA-seq,成年雄鼠 7 周龄,BSDC,BSDC.1699433096.20001,https://doi.org/10.12412/BSDC.1699433096.20001,matrix/H5AD（以官方清单为准）,未公布,no,data/processed/snrnaseq/expression/,no,login-or-manifest-required,"在线系统报告 378,287 个高质量细胞核。"
han-snrnaseq-annotations,snRNA-seq 细胞类型注释,cell annotation,成年雄鼠 7 周龄,BSDC/在线图谱,BSDC.1699433096.20001,https://mouse.digital-brain.cn/spatial-omics,TSV/CSV（以官方清单为准）,未公布,partial,data/processed/snrnaseq/annotations/,no,partly-linked,19 个 subclass、308 个 cluster；细胞类型说明可在在线系统查看。
han-spatial-id-mapping,Spatial-ID 映射结果,label transfer,成年 mouse1/mouse2,在线图谱,stereoseq.celltypeTransfer.2mice.all,https://www.braindatacenter.cn/resource/1629164258869/dataset/1710842551940927490/1706651291499872258/be9677ed1a3245efbed0d3354e7cdcae/stereoseq/celltypeTransfer/aa90053d-c889-4fc2-aca3-e4dc4c30b83d/stereoseq.celltypeTransfer.2mice.all.tsv.gz,TSV.GZ,官方页面未显示,yes,data/processed/spatial_id/,no,direct-link-confirmed,将 snRNA-seq cluster 转移到 195 张 Stereo-seq 切片的细胞。
han-ccfv3-coordinates,Allen CCFv3 三维坐标与脑区注释,3D registration/ontology,成年 mouse1/mouse2,BSDC/Allen CCFv3,BSDC.1699433096.20001,https://doi.org/10.12412/BSDC.1699433096.20001,TSV/CSV/transform（以官方清单为准）,未公布,no,data/external/allen_ccfv3/,no,manifest-required,当前页面未列出三维坐标文件名；不能用二维 rx/ry 冒充 CCF 三维坐标。
han-developmental-stereoseq,发育阶段空间转录组,developmental Stereo-seq,E12.5;E14.5;E16.5;P1;P7;P14;P77,CNGB/BSDC,CNP0003837,https://doi.org/10.12412/BSDC.1699433096.20001,GEF/GEM/H5AD/TSV（以官方清单为准）,未公布,no,data/processed/developmental/,no,manifest-required,用于时空发育分析；具体样本文件名需官方清单。
han-regulon-modules-lncrna,TF regulon、基因模块与 lncRNA 结果,derived analysis,成年及七个发育阶段,论文补充材料/BSDC,10.1016/j.neuron.2025.02.015,https://doi.org/10.1016/j.neuron.2025.02.015,XLSX/TSV/CSV（以官方清单为准）,未公布,no,data/processed/derived_results/,no,supplement-or-manifest-required,只在确认补充表或 BSDC 文件名后下载。
han-entity-metadata,细胞、切片、基因和脑区元数据,metadata,全部,CNGB/BSDC/在线图谱,CNP0003837,https://mouse.digital-brain.cn/spatial-omics,TSV/CSV/JSON,未公布,partial,data/processed/metadata/,no,partly-linked,官方明确给出 section_id_used_in_paper.tsv；其他元数据需官方清单。
