corpus_id,model,corpus_name,survey_reported_size,current_model_size,species,modality,source_platforms,purpose,official_url,download_url,access_type,file_format,license,current_status,model_paper_title,model_paper_url,notes,verified_date
PT001,scBERT,PanglaoDB corpus,约1M cells,,human; mouse,scRNA-seq,PanglaoDB,pretraining,https://panglaodb.se/,https://panglaodb.se/bulk.html,direct/partial,RData; metadata tables,需逐研究核实,available,scBERT as a large-scale pretrained deep language model for cell type annotation of single-cell RNA-seq data,https://doi.org/10.1038/s42256-022-00534-z,PanglaoDB可下载聚合数据；原始研究仍有各自许可。,2026-08-21
PT002,UCE,IMA,36M cells,,multi-species,scRNA-seq,CELLxGENE; Tabula Sapiens; other public studies,pretraining,https://github.com/snap-stanford/UCE,,partial,AnnData-derived model input,来源数据许可各异,processing code and selected data links available,Universal cell embeddings: a foundation model for cell biology,https://doi.org/10.1101/2023.11.28.568918,未找到36M整库单一公开下载包；应按官方仓库说明从来源平台重建。,2026-08-21
PT003,GeneFormer,Genecorpus-30M,27.4M cells,V2约104M cells,human,scRNA-seq,public repositories,pretraining,https://huggingface.co/datasets/ctheodoris/Genecorpus-30M,https://huggingface.co/datasets/ctheodoris/Genecorpus-30M/tree/main,direct,Hugging Face Dataset/Arrow,Apache-2.0（以数据卡为准）,available,Transfer learning enables predictions in network biology,https://doi.org/10.1038/s41586-023-06139-9,综述历史规模保留为27.4M；当前模型卡另列V2约104M，不覆盖历史值。,2026-08-21
PT004,CellPLM,CellPLM pretraining corpus,9M scRNA-seq + 2M spatial cells,,human; mouse,scRNA-seq; spatial transcriptomics,multiple public sources,pretraining,https://github.com/OmicsML/CellPLM,,not publicly located,not specified as one public corpus,来源数据许可各异,model code/checkpoint available; full corpus not located,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,https://doi.org/10.1101/2023.10.03.560734,仓库提供模型与下游示例，但未确认完整11M训练语料的统一下载地址。,2026-08-21
PT005,scFoundation,scFoundation pretraining collection,>50M cells,,human,scRNA-seq,GEO; Broad Single Cell Portal; HCA; EMBL-EBI,pretraining,https://github.com/biomap-research/scFoundation,https://github.com/biomap-research/scFoundation/tree/main/preprocessing,partial,source-specific; preprocessing outputs,来源数据许可各异,source manifests and preprocessing available; no single full bundle,Large-scale foundation model on single-cell transcriptomics,https://doi.org/10.1038/s41592-024-02305-7,官方仓库含DataSupplement和预处理流程；完整50M集合需按清单重建。,2026-08-21
PT006,Nicheformer,SpatialCorpus-110M,综述约57M cells,>110M total: 57M dissociated + 53M spatial,human; mouse,scRNA-seq; targeted spatial transcriptomics,CELLxGENE; GEO; sfaira; HCA,pretraining,https://github.com/theislab/nicheformer,https://github.com/theislab/nicheformer/tree/main/data,partial,AnnData-derived; scripts,BSD-3-Clause（代码）；数据许可各异,loading scripts and weights available,Nicheformer: a foundation model for single-cell and spatial omics,https://doi.org/10.1101/2024.04.15.589472,综述的57M与新版论文的>110M口径不同，分别保留。,2026-08-21
PT007,tGPT,tGPT transcriptome corpus,22.3M cells,,human,scRNA-seq,HCA; HCL; public atlases,pretraining,https://github.com/deeplearningplus/tGPT,,partial,ranked-gene sequences,以仓库和来源数据为准,code/model available; complete corpus bundle not located,Generative pretraining from large-scale transcriptomes for single-cell deciphering,https://doi.org/10.1016/j.isci.2023.106536,训练输入是按表达量排序的基因序列，不等同于原始表达矩阵。,2026-08-21
PT008,scGPT,CELLxGENE pretraining corpus,33M cells,,human,scRNA-seq,CELLxGENE Discover/Census,pretraining,https://github.com/bowang-lab/scGPT,https://cellxgene.cziscience.com/,reconstructable,h5ad; Census/SOMA,逐数据集许可,source platform available; exact historical snapshot requires reconstruction,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,https://doi.org/10.1038/s41592-024-02201-0,33M为综述历史规模；CELLxGENE持续更新，需记录快照版本。,2026-08-21
PT009,CellLM,PanglaoDB + CancerSCEM,约2M cells,,human,scRNA-seq,PanglaoDB; CancerSCEM,pretraining,https://arxiv.org/abs/2306.04371,,not publicly located,not specified as one public corpus,来源数据许可各异,paper available; official code/corpus bundle unverified,Large-Scale Cell Representation Learning via Divide-and-Conquer Contrastive Learning,https://arxiv.org/abs/2306.04371,未确认官方代码仓库或完整2M训练包。,2026-08-21
PT010,LangCell,scLibrary,27.5M cell-text pairs,,human,scRNA-seq + text,CELLxGENE,language-cell pretraining,https://huggingface.co/datasets/Toycat/scLibrary,https://huggingface.co/datasets/Toycat/scLibrary/tree/main,direct,Hugging Face Dataset,以数据卡为准,available (~122 GB shown by data card),LangCell: Language-Cell Pre-training for Cell Identity Understanding,https://arxiv.org/abs/2405.06708,这是细胞—文本配对语料，不是模型权重。,2026-08-21
PT011,scCello,CELLxGENE pretraining set,22M cells,,human,scRNA-seq,CELLxGENE,pretraining,https://github.com/DeepGraphLearning/scCello,https://huggingface.co/datasets/katarinayuan/scCello_pretrain_unsplitted,direct,Hugging Face Dataset,以数据卡为准,available,Cell ontology guided transcriptome foundation model,https://proceedings.neurips.cc/paper_files/paper/2024/hash/0be40478ab6ee0006ee3b38b158bbc8f-Abstract-Conference.html,包含预训练集合及ID/OOD派生评测集。,2026-08-21
PT012,scPRINT,CELLxGENE pretraining corpus,50M cells,,human,scRNA-seq,CELLxGENE,pretraining,https://github.com/cantinilab/scPRINT,https://huggingface.co/jkobject/scPRINT,partial,model checkpoints; source manifests/scripts,GPL-3.0（代码）；数据许可各异,weights/code available; exact full corpus not one direct file,scPRINT: pre-training on 50 million cells allows robust gene network predictions,https://doi.org/10.1038/s41467-025-58699-1,Hugging Face主要是权重与测试资源，不等同完整训练表达矩阵。,2026-08-21
PT013,scMulan,hECA-10M,10M cells,,human,scRNA-seq,hECA,pretraining,https://zenodo.org/records/14209942,https://zenodo.org/records/14209942,direct,split ZIP; HDF5; CSV metadata,以Zenodo记录为准,available; 26.6 GB record,scMulan: A Multitask Generative Pre-Trained Language Model for Single-Cell Analysis,https://doi.org/10.1007/978-1-0716-3989-4_57,Zenodo提供分卷压缩数据与metadata。,2026-08-21
PT014,GeneCompass,scCompass-126M,126M cells,repo describes >120M; released subsets up to 5M/species,human; mouse,scRNA-seq,multiple public repositories,cross-species pretraining,https://github.com/xCompass-AI/GeneCompass,https://github.com/xCompass-AI/GeneCompass#pretrained-data,partial,Hugging Face Dataset-derived,以仓库和来源数据为准,small released subsets and checkpoints available,GeneCompass: deciphering universal gene regulatory mechanisms with a knowledge-informed cross-species foundation model,https://doi.org/10.1038/s41422-024-01034-y,完整126M未确认单一公开包；官方仓库提供50K/500K/5M子集。,2026-08-21
PT015,CellFM,CellFM 100M corpus,约100M cells,约100M cells,human,scRNA-seq,GEO; ENA; GSA; ImmPort; other sources,pretraining,https://github.com/biomed-AI/CellFM,https://doi.org/10.5281/zenodo.15138665,partial/direct derived resources,study-specific; Zenodo processed resources,以Zenodo和各来源为准,paper data bundle and code available; full source collection distributed,CellFM: a large-scale foundation model pre-trained on transcriptomics of 100 million human cells,https://doi.org/10.1038/s41467-025-59926-5,论文补充表列来源；Zenodo提供论文数据，不应假定等同全部100M原始矩阵。,2026-08-21
